1, the_end, betterendforge:empty_aurora_cave, MONSTER, dungeons_mobs:blastling, 150, 1, 3
2, the_end, betterendforge:empty_aurora_cave, MONSTER, dungeons_mobs:snareling, 150, 1, 3
3, the_end, betterendforge:empty_aurora_cave, MONSTER, dungeons_mobs:watchling, 150, 1, 3
4, the_end, betterendforge:empty_aurora_cave, MONSTER, dungeons_mobs:endersent, 1, 1, 1
5, the_end, betterendforge:empty_aurora_cave, MONSTER, minecraft:enderman, 250, 1, 2
6, the_end, betterendforge:empty_aurora_cave, MONSTER, enderlinginvaders:lureling, 50, 1, 1
7, the_end, betterendforge:empty_aurora_cave, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
8, the_end, betterendforge:empty_aurora_cave, CREATURE, alexsmobs:endergrade, 100, 2, 4
9, the_end, betterendforge:empty_aurora_cave, CREATURE, alexsmobs:enderiophage, 40, 2, 2
10, the_end, betterendforge:empty_aurora_cave, CREATURE, alexsmobs:spectre, 10, 1, 1
11, the_end, betterendforge:empty_aurora_cave, CREATURE, endergetic:puff_bug, 100, 2, 4
12, the_end, betterendforge:empty_aurora_cave, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
13, the_end, betterendforge:empty_aurora_cave, CREATURE, endergetic:booflo, 40, 1, 2
14, the_end, betterendforge:empty_aurora_cave, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
15, the_end, betterendforge:empty_aurora_cave, MONSTER, betterendforge:shadow_walker, 30, 1, 2
16, the_end, betterendforge:empty_aurora_cave, MONSTER, betterendforge:end_slime, 30, 1, 2
17, the_end, betterendforge:empty_aurora_cave, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
18, the_end, betterendforge:empty_aurora_cave, MONSTER, deadlyendphantoms:specter, 20, 1, 1
19, the_end, betterendforge:amber_land, MONSTER, dungeons_mobs:blastling, 150, 1, 3
20, the_end, betterendforge:amber_land, MONSTER, dungeons_mobs:snareling, 150, 1, 3
21, the_end, betterendforge:amber_land, MONSTER, dungeons_mobs:watchling, 150, 1, 3
22, the_end, betterendforge:amber_land, MONSTER, dungeons_mobs:endersent, 1, 1, 1
23, the_end, betterendforge:amber_land, MONSTER, minecraft:enderman, 250, 1, 2
24, the_end, betterendforge:amber_land, MONSTER, enderlinginvaders:lureling, 50, 1, 1
25, the_end, betterendforge:amber_land, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
26, the_end, betterendforge:amber_land, CREATURE, alexsmobs:endergrade, 100, 2, 4
